metric,n,method,group,n_datasets,mean_before,mean_after,mean_delta,median_delta,win_rate
CRPS,5000,LogNormal-Homo,baseline,34,4087.42532472169,4084.127424788366,-3.297899933323828,-0.12080477827566594,0.8823529411764706
CRPS,5000,LogNormal-Homo-Ridge,baseline,34,4093.3116016216836,4090.9299564219305,-2.3816451997526316,-0.11412337563408215,0.8529411764705882
CRPS,5000,MDN,baseline,34,2861.1180924784376,2847.90508155153,-13.213010926907154,0.00013821398459040388,0.3235294117647059
CRPS,5000,Quantile-Tree,baseline,34,3021.071711130131,3008.602262967311,-12.469448162819884,1.2697873266993322e-05,0.4411764705882353
CRPS,5000,Student-t,baseline,34,19461.33035030531,19350.665863408623,-110.66448689668547,-0.004218615343388743,0.7058823529411765
CRPS,5000,Student-t-Ridge,baseline,34,4776.662806652041,4665.73921539755,-110.92359125449059,-0.004163588746120883,0.7058823529411765
CRPS,5000,RealTabPFN-2.5,foundation,34,2187.736248552309,2181.6117848012464,-6.124463751063193,-1.7679063939003226e-06,0.5294117647058824
CRPS,5000,TabICL-Quantiles,foundation,34,2196.031656748568,2196.5661809257003,0.5345241771324635,0.002407288494892912,0.35294117647058826
CRPS,5000,TabPFN-2.5,foundation,34,2173.959384758332,2167.912685542133,-6.0466992161985775,1.793391305257748e-05,0.38235294117647056
CRPS,10000,BART-Homo,baseline,25,14632.556248334497,12375.34174832418,-2257.214500010318,-0.5252512311140691,1.0
CRPS,10000,CatMLP,baseline,25,4006.4658434895814,3972.21075680437,-34.25508668521222,-2.411127316786707e-05,0.6
CRPS,10000,FlexCode-RF,baseline,25,6906.517710924713,5237.442204021197,-1669.0755069035163,-1.5155520098868445,1.0
CRPS,10000,Flow-Spline,baseline,25,3757.0872510429153,3577.535095549521,-179.55215549339417,-0.011889869894426197,0.72
CRPS,10000,Gamma-GLM,baseline,25,5983.673846193068,5640.39189556154,-343.2819506315277,-0.44267991108625715,0.88
CRPS,10000,Gamma-GLM-Ridge,baseline,25,8038.178148573611,8043.847521233118,5.669372659505359,-0.1037631177495375,0.8
CRPS,10000,LinGauss-Hetero-Ridge,baseline,25,77776.51398152596,76472.23009144675,-1304.283890079212,-0.08547498780336094,0.84
CRPS,10000,LinGauss-Homo-Ridge,baseline,25,51494.63452209538,51107.48296162144,-387.1515604739375,-0.12081301909704756,0.88
CRPS,10000,LinearGauss-Hetero,baseline,25,71831.26721929574,71333.6166321554,-497.6505871403288,-0.08708495563840213,0.84
CRPS,10000,LinearGauss-Homo,baseline,25,51531.81934621219,51146.55314971544,-385.26619649675445,-0.12038181261438297,0.88
CRPS,10000,LogNormal-Hetero,baseline,25,5527.023420407714,5473.246651039115,-53.77676936859897,-0.07461666362096198,0.76
CRPS,10000,LogNormal-Hetero-Ridge,baseline,25,5530.681331557204,5488.0161915395465,-42.665140017657315,-0.07447013459392471,0.8
CRPS,10000,LogNormal-Homo,baseline,25,5625.11899482665,5613.3336354650455,-11.785359361604911,-0.2605174592308668,0.84
CRPS,10000,LogNormal-Homo-Ridge,baseline,25,5628.862251940174,5620.551447077509,-8.310804862664027,-0.2618945158668744,0.84
CRPS,10000,MDN,baseline,25,3775.7173267431144,3783.9411993519484,8.223872608834276,0.005449392685359378,0.4
CRPS,10000,Student-t,baseline,25,6493.282226061323,6385.614292023263,-107.66793403806078,-0.12078739103398917,0.72
CRPS,10000,Student-t-Ridge,baseline,25,6491.349489749588,6382.448753245561,-108.90073650402688,-0.12099229931513023,0.72
CRPS,10000,RealTabPFN-2.5,foundation,25,5372.518209103416,5114.5370376450755,-257.98117145834,-4.2996268414868463e-07,0.52
CRPS,10000,TabICL-Quantiles,foundation,25,2791.83627854212,2792.810333505523,0.9740549634030781,3.245500529021426e-05,0.36
CRPS,10000,TabPFN-2.5,foundation,25,7488.302110932235,7135.3902217541845,-352.91188917805084,-1.6574526235291123e-07,0.52
CRPS,20000,BART-Homo,baseline,16,13692.275654819383,10967.365124543107,-2724.9105302762778,-15.99249240792748,1.0
CRPS,20000,CatMLP,baseline,16,3475.3522348216575,3455.172566043853,-20.179668777804757,-0.009305660542341804,0.75
CRPS,20000,FlexCode-RF,baseline,16,6209.402974528691,5592.206110112039,-617.1968644166514,-17.076059354596925,1.0
CRPS,20000,Flow-Spline,baseline,16,3275.515873965717,3248.287390540195,-27.228483425522164,-0.00867492032457065,0.6875
CRPS,20000,Gamma-GLM,baseline,16,5125.897854730774,4631.866899871763,-494.0309548590119,-1.0676421019306552,0.9375
